Year,Month,Prime
2022,11,4.75
2022,10,4.25
2022,9,4.25
2022,8,3.50
2022,7,2.75
2022,6,2.75
2022,5,2.25
2022,4,1.85
2022,3,1.85
2022,2,1.85
2022,1,1.85
2021,12,1.85
2021,11,1.85
2021,10,1.85
2021,9,1.85
2021,8,1.85
2021,7,1.85
2021,6,1.85
2021,5,1.85
2021,4,1.85
2021,3,1.85
2021,2,1.85
2021,1,1.85
2020,12,1.85
2020,11,1.85
2020,10,1.85
2020,9,1.85
2020,8,1.85
2020,7,1.85
2020,6,1.85
2020,5,1.85
2020,4,1.60
2020,3,1.60
2020,2,1.60
2020,1,1.60
2019,12,1.60
2019,11,1.60
2019,10,1.60
2019,9,1.60
2019,8,1.60
2019,7,1.60
2019,6,1.60
2019,5,1.60
2019,4,1.60
2019,3,1.60
2019,2,1.60
2019,1,1.60
2018,12,1.60
2018,11,1.75
2018,10,1.75
2018,9,1.75
2018,8,1.75
2018,7,1.75
2018,6,1.75
2018,5,1.75
2018,4,1.75
2018,3,1.75
2018,2,1.75
2018,1,1.75
2017,12,1.75
2017,11,1.75
2017,10,1.75
2017,9,1.75
2017,8,1.75
2017,7,1.75
2017,6,1.75
2017,5,1.75
2017,4,1.75
2017,3,1.75
2017,2,1.75
2017,1,1.75
2016,12,1.75
2016,11,1.75
2016,10,1.75
2016,9,1.75
2016,8,1.75
2016,7,1.75
2016,6,1.75
2016,5,1.75
2016,4,1.75
2016,3,1.75
2016,2,1.75
2016,1,1.75
2015,12,1.75
2015,11,1.75
2015,10,1.75
2015,9,1.75
2015,8,1.75
2015,7,1.75
2015,6,1.75
2015,5,1.75
2015,4,1.75
2015,3,1.75
2015,2,1.75
2015,1,1.75
2014,12,1.75
2014,11,1.75
2014,10,1.75
2014,9,1.75
2014,8,1.75
2014,7,2.00
2014,6,2.00
2014,5,2.00
2014,4,2.00
2014,3,2.00
2014,2,2.00
2014,1,2.00
2013,12,2.00
2013,11,2.00
2013,10,2.00
2013,9,2.50
2013,8,2.50
2013,7,2.50
2013,6,2.50
2013,5,2.75
2013,4,2.75
2013,3,2.75
2013,2,2.75
2013,1,2.75
2012,12,2.75
2012,11,2.75
2012,10,2.75
2012,9,2.75
2012,8,2.75
2012,7,2.75
2012,6,2.75
2012,5,2.25
2012,4,2.25
2012,3,2.25
2012,2,2.25
2012,1,2.25
2011,12,2.25
2011,11,2.25
2011,10,2.25
2011,9,2.25
2011,8,2.25
2011,7,2.25
2011,6,2.25
2011,5,2.25
2011,4,2.25
2011,3,2.25
2011,2,2.25
2011,1,2.25
2010,12,2.25
2010,11,2.25
2010,10,2.25
2010,9,2.25
2010,8,2.25
2010,7,2.25
2010,6,2.25
2010,5,2.25
2010,4,2.25
2010,3,2.25
2010,2,2.25
2010,1,2.25
2009,12,2.25
2009,11,2.25
2009,10,2.25
2009,9,2.25
2009,8,2.25
2009,7,2.25
2009,6,2.25
2009,5,2.25
2009,4,2.25
2009,3,2.25
2009,2,2.25
2009,1,2.25
